index_id,index_name,symbol,valid_from,valid_to,weightage,source,source_url,notes,needs_manual_audit
221,Nifty 500,CUMMINSIND,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,CYIENT,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,DABUR,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,DALBHARAT,2014-01-01,2018-04-02,,snapshot_floor,,closed by ind_prs21022018.pdf,True
221,Nifty 500,DBCORP,2014-01-01,2021-03-31,,snapshot_floor,,closed by ind_prs23022021.pdf,True
221,Nifty 500,DBREALTY,2014-01-01,2018-09-28,,snapshot_floor,,closed by ind_prs28082018.pdf,True
221,Nifty 500,DCBBANK,2014-01-01,2022-03-31,,snapshot_floor,,closed by ind_prs24022022_1.pdf,True
221,Nifty 500,DCMSHRIRAM,2014-01-01,2024-09-30,,snapshot_floor,,closed by ind_prs23082024.pdf,True
221,Nifty 500,DEEPAKFERT,2014-01-01,2019-09-27,,snapshot_floor,,closed by ind_prs28082019.pdf,True
221,Nifty 500,DELTACORP,2014-01-01,2024-03-28,,snapshot_floor,,closed by ind_prs28022024.pdf,True
221,Nifty 500,DEN,2014-01-01,2019-03-29,,snapshot_floor,,closed by ind_prs25022019.pdf,True
221,Nifty 500,DENABANK,2014-01-01,2019-01-28,,snapshot_floor,,closed by ind_prs21012019.pdf,True
221,Nifty 500,DHANUKA,2014-01-01,2018-04-02,,snapshot_floor,,closed by ind_prs21022018.pdf,True
221,Nifty 500,DHFL,2014-01-01,2020-06-26,,snapshot_floor,,closed by ind_prs10062020.pdf,True
221,Nifty 500,DISHMAN,2014-01-01,2017-01-23,,snapshot_floor,,closed by ind_prs16012017.pdf,True
221,Nifty 500,DISHTV,2014-01-01,2021-09-30,,snapshot_floor,,closed by ind_prs15092021.pdf,True
221,Nifty 500,DIVISLAB,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,DLF,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,DREDGECORP,2014-01-01,2019-03-29,,snapshot_floor,,closed by ind_prs25022019.pdf,True
221,Nifty 500,DRREDDY,2014-01-01,,,snapshot_floor,,,True
