symbol,valid_from,valid_to,source,source_url,notes,needs_manual_audit,referenced_document
ECLERX,2014-01-01,,snapshot_floor,,,True,
EDELWEISS,2014-01-01,2023-04-28,snapshot_floor,,closed by ind_prs19042023_1.pdf,True,ind_prs19042023_1.pdf
EICHERMOT,2014-01-01,,snapshot_floor,,,True,
EIDPARRY,2014-01-01,,snapshot_floor,,,True,
EIHOTEL,2014-01-01,,snapshot_floor,,,True,
EMAMILTD,2014-01-01,,snapshot_floor,,,True,
ENGINERSIN,2014-01-01,,snapshot_floor,,,True,
EPIGRAL,2014-01-01,2024-03-28,snapshot_floor,,closed by ind_prs28022024.pdf,True,ind_prs28022024.pdf
EPL,2014-01-01,2018-04-02,snapshot_floor,,closed by ind_prs21022018.pdf,True,ind_prs21022018.pdf
EQUITAS,2014-01-01,2022-09-30,snapshot_floor,,closed by ind_prs16092022.pdf,True,ind_prs16092022.pdf
EROSMEDIA,2014-01-01,2019-03-29,snapshot_floor,,closed by ind_prs25022019.pdf,True,ind_prs25022019.pdf
ESCORTS,2014-01-01,,snapshot_floor,,,True,
EXIDEIND,2014-01-01,,snapshot_floor,,,True,
FDC,2014-01-01,2017-09-29,snapshot_floor,,closed by ind_prs28082017.pdf,True,ind_prs28082017.pdf
FEDERALBNK,2014-01-01,,snapshot_floor,,,True,
FINCABLES,2014-01-01,,snapshot_floor,,,True,
FINPIPE,2014-01-01,2026-03-30,snapshot_floor,,closed by ind_prs23022026.pdf,True,ind_prs23022026.pdf
FORTIS,2014-01-01,2018-02-05,snapshot_floor,,closed by ind_prs08012018.pdf,True,ind_prs08012018.pdf
FRL,2014-01-01,2015-12-14,snapshot_floor,,closed by ind_prs07122015.pdf,True,ind_prs07122015.pdf
FSL,2014-01-01,,snapshot_floor,,,True,
GAIL,2014-01-01,,snapshot_floor,,,True,
GAMMONIND,2014-01-01,2015-09-28,snapshot_floor,,closed by ind_prs12082015.pdf,True,ind_prs12082015.pdf
GATI,2014-01-01,2018-09-28,snapshot_floor,,closed by ind_prs28082018.pdf,True,ind_prs28082018.pdf
GDL,2014-01-01,2019-09-27,snapshot_floor,,closed by ind_prs28082019.pdf,True,ind_prs28082019.pdf
GEPIL,2014-01-01,2021-09-30,snapshot_floor,,closed by ind_prs15092021.pdf,True,ind_prs15092021.pdf
GESHIP,2014-01-01,,snapshot_floor,,,True,
GET&D,2014-01-01,2020-09-25,snapshot_floor,,closed by ind_prs20082020.pdf,True,ind_prs20082020.pdf
GILLETTE,2014-01-01,2022-03-31,snapshot_floor,,closed by ind_prs24022022_1.pdf,True,ind_prs24022022_1.pdf
GLAXO,2014-01-01,,snapshot_floor,,,True,
GLENMARK,2014-01-01,,snapshot_floor,,,True,
GMDCLTD,2014-01-01,2021-03-31,snapshot_floor,,closed by ind_prs23022021.pdf,True,ind_prs23022021.pdf
GMRAIRPORT,2014-01-01,2021-10-29,snapshot_floor,,closed by ind_prs22102021.pdf,True,ind_prs22102021.pdf
GODFRYPHLP,2014-01-01,,snapshot_floor,,,True,
GODREJCP,2014-01-01,,snapshot_floor,,,True,
GODREJIND,2014-01-01,,snapshot_floor,,,True,
GODREJPROP,2014-01-01,,snapshot_floor,,,True,
GPPL,2014-01-01,2025-09-30,snapshot_floor,,closed by ind_prs22082025.pdf,True,ind_prs22082025.pdf
GRANULES,2014-01-01,,snapshot_floor,,,True,
GRASIM,2014-01-01,2017-05-26,snapshot_floor,,closed by ind_prs27042017.pdf,True,ind_prs27042017.pdf
GREAVESCOT,2014-01-01,2022-03-31,snapshot_floor,,closed by ind_prs24022022_1.pdf,True,ind_prs24022022_1.pdf
GREENPLY,2014-01-01,2019-03-29,snapshot_floor,,closed by ind_prs25022019.pdf,True,ind_prs25022019.pdf
