event_id,security_id,symbol,ex_date,record_date,ratio_a,ratio_b,rights_subscription_price,issue_close_date,fractional_policy,ordinary_status,primary_evidence_url,close_confirmation_url,verification_status,accepted_rights_subscription_price,close_evidence_level,fractional_evidence_url,issue_structure_detail,accepted_price_mismatch,post_close_evidence_url
CA_2500a7f61e23313a4270,NSE_B81E8F19FC12,RELIANCE,2020-05-13,2020-05-14,1.0,15.0,1257.0,2020-06-03,FLOOR,ORDINARY_VERIFIED,https://www.sebi.gov.in/sebi_data/attachdocs/may-2020/1589793193201.pdf,https://www.ril.com/sites/default/files/2023-01/ET13062020.pdf,VERIFIED_PRIMARY,1257.0,POST_CLOSE_CONFIRMATION,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2020/1579691409907.pdf,Partly paid only if subscribed; passive holder does not subscribe,NO,https://www.ril.com/sites/default/files/2023-01/ET13062020.pdf
CA_a13bc7ec6986a3b55127,NSE_D6EC0847F646,ABFRL,2020-06-30,2020-07-01,9.0,77.0,110.0,2020-07-22,FLOOR,ORDINARY_VERIFIED,https://www.sebi.gov.in/sebi_data/attachdocs/jul-2020/1594277951392.pdf,https://www.sebi.gov.in/sebi_data/attachdocs/jul-2020/1594277951392.pdf,PRIMARY_TERMS_SCHEDULED_CLOSE_ONLY,110.0,FINAL_OFFER_SCHEDULE,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2020/1579691409907.pdf,Partly paid only if subscribed; passive holder does not subscribe,NO,
CA_f286c21e44d3001e2272,NSE_DB2FD1378512,SHRIRAMFIN,2020-07-09,2020-07-10,3.0,26.0,562.0,2020-07-30,FLOOR,ORDINARY_VERIFIED,https://www.sbicaps.com/wp-content/uploads/2021/10/Shriram_Transport_Finance_Company_Limited_-_Letter_of_Offer.pdf,https://www.mseindia.co.in/SX-Content/Listing/Annual-Reports/2021/SHRIRAMFIN-2021.pdf,VERIFIED_PRIMARY,562.0,POST_CLOSE_CONFIRMATION,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2020/1579691409907.pdf,,NO,https://www.mseindia.co.in/SX-Content/Listing/Annual-Reports/2021/SHRIRAMFIN-2021.pdf
CA_44f2e47b9cad75bc7d5d,NSE_57BCD151AF77,M&MFIN,2020-07-22,2020-07-23,1.0,1.0,50.0,2020-08-11,EXACT_INTEGER,ORDINARY_VERIFIED,https://www.sbicaps.com/wp-content/uploads/2021/10/Mahindra_Mahindra_Financial_Services_Limited_Letter_of_Offer.pdf,https://www.sbicaps.com/wp-content/uploads/2021/10/Mahindra_Mahindra_Financial_Services_Limited_Letter_of_Offer.pdf,PRIMARY_TERMS_SCHEDULED_CLOSE_ONLY,50.0,FINAL_OFFER_SCHEDULE,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2020/1579691409907.pdf,,NO,
CA_277f0c578cd42848896a,NSE_48390A9F12CC,UNOMINDA,2020-08-14,2020-08-17,1.0,27.0,250.0,2020-09-08,FLOOR,ORDINARY_VERIFIED,https://nsearchives.nseindia.com/corporate/MINDAIND_11082020190205_revised_outcome.pdf,https://nsearchives.nseindia.com/corporate/SEQUENT_19092020165528_Stock_Exchange_intimation_Offer_PostOfferAdvertisement.pdf,VERIFIED_PRIMARY,250.0,POST_CLOSE_CONFIRMATION,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2020/1579691409907.pdf,,NO,https://nsearchives.nseindia.com/corporate/SEQUENT_19092020165528_Stock_Exchange_intimation_Offer_PostOfferAdvertisement.pdf
CA_f59befb063935a9017c3,NSE_9EF7F390DA4E,DEEPAKFERT,2020-09-16,2020-09-17,3.0,20.0,133.0,2020-10-12,FLOOR,ORDINARY_VERIFIED,https://www.sebi.gov.in/sebi_data/attachdocs/sep-2020/1600418213977.pdf,https://www.dfpcl.com/uploads/2017/05/Annual-Report-2020-21.pdf,VERIFIED_PRIMARY,,POST_CLOSE_CONFIRMATION,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2020/1579691409907.pdf,,NO,https://www.dfpcl.com/uploads/2017/05/Annual-Report-2020-21.pdf
CA_89880ca496e160e03b39,NSE_80C803A57277,EIHOTEL,2020-09-22,2020-09-23,8.0,85.0,65.0,2020-10-13,FLOOR,ORDINARY_VERIFIED,https://www.eihltd.com/-/media/eihltd/pdf-files/right-issue/Letter-of-Offer-Rights-Issue-2020.pdf,https://www.eihltd.com/-/media/eihltd/pdf-files/right-issue/eih-newspaper-advertisement-basis-of-allotment-09-20.pdf,VERIFIED_PRIMARY,65.0,POST_CLOSE_CONFIRMATION,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2020/1579691409907.pdf,,NO,https://www.eihltd.com/-/media/eihltd/pdf-files/right-issue/eih-newspaper-advertisement-basis-of-allotment-09-20.pdf
CA_d2e845c32995ee672159,NSE_FA3A03D8F627,SHOPERSTOP,2020-11-19,2020-11-20,17.0,70.0,140.0,2020-12-11,FLOOR,ORDINARY_VERIFIED,https://www.jmfl.com/Common/getFile/648,https://www.jmfl.com/Common/getFile/648,PRIMARY_TERMS_SCHEDULED_CLOSE_ONLY,140.0,FINAL_OFFER_SCHEDULE,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2020/1579691409907.pdf,,NO,
CA_3ec7762a6e7b220937b8,NSE_4723627B4BA6,KESORAMIND,2021-09-16,2021-09-17,133.0,274.0,50.0,2021-10-11,FLOOR,ORDINARY_VERIFIED,https://www.bseindia.com/downloads/ipo/Letter%20of%20Offer_220920211840.pdf,https://www.bseindia.com/downloads/ipo/Letter%20of%20Offer_220920211840.pdf,PRIMARY_TERMS_SCHEDULED_CLOSE_ONLY,,FINAL_OFFER_SCHEDULE,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2020/1579691409907.pdf,Partly paid only if subscribed; passive holder does not subscribe,NO,
CA_5c9ac1630951363e71e1,NSE_BD4742D366FC,BHARTIARTL,2021-09-27,2021-09-28,1.0,14.0,535.0,2021-10-21,FLOOR,ORDINARY_VERIFIED,https://assets.airtel.in/teams/simplycms/web/docs/Letter_of_Offer_dated_September_22-2021.pdf,https://nsearchives.nseindia.com/corporate/BHARTIARTL_02112021171726_Bharti_01.pdf,VERIFIED_PRIMARY,535.0,POST_CLOSE_CONFIRMATION,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2020/1579691409907.pdf,Partly paid only if subscribed; passive holder does not subscribe,NO,https://nsearchives.nseindia.com/corporate/BHARTIARTL_02112021171726_Bharti_01.pdf
CA_7a517c0e7b56035d909a,NSE_981D18E0A068,INDHOTEL,2021-11-11,2021-11-13,1.0,9.0,150.0,2021-12-08,FLOOR,ORDINARY_VERIFIED,https://investor.ihcltata.com/files/Letter_of_Offer.pdf,https://investor.ihcltata.com/files/Letter_of_Offer.pdf,PRIMARY_TERMS_SCHEDULED_CLOSE_ONLY,150.0,FINAL_OFFER_SCHEDULE,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2020/1579691409907.pdf,,NO,
CA_892f107473f5517e7be9,NSE_3F3FCC28A216,WOCKPHARMA,2022-03-08,2022-03-09,3.0,10.0,225.0,2022-03-22,FLOOR,ORDINARY_VERIFIED,https://www.wockhardt.com/wp-content/uploads/2022/09/lo-21322.pdf,https://statutory.wockhardt.com/Wockhardt_Annual_Report_FY21-22.pdf,VERIFIED_PRIMARY,225.0,POST_CLOSE_CONFIRMATION,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2020/1579691409907.pdf,,NO,https://statutory.wockhardt.com/Wockhardt_Annual_Report_FY21-22.pdf
CA_37a7139ada6577fb69ea,NSE_F6C28C2DB744,SUZLON,2022-10-03,2022-10-04,5.0,21.0,5.0,2022-10-20,FLOOR,ORDINARY_VERIFIED,https://www.suzlon.com/NewPdf/Offer_Documents/2022-23/Letter_of_Offer.pdf,https://www.suzlon.com/NewPdf/Shareholders_Information/Disclosures_To_Stock_Exchanges/2022-23/Suzlon_20-10-2022.pdf,VERIFIED_PRIMARY,5.0,POST_CLOSE_CONFIRMATION,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2020/1579691409907.pdf,Partly paid only if subscribed; passive holder does not subscribe,NO,https://www.suzlon.com/NewPdf/Shareholders_Information/Disclosures_To_Stock_Exchanges/2022-23/Suzlon_20-10-2022.pdf
CA_ea2a6135ded4b7604002,NSE_3BC23EE3CDD9,SUVEN,2022-10-17,2022-10-18,1.0,2.0,55.0,2022-11-10,FLOOR,ORDINARY_VERIFIED,https://www.sebi.gov.in/sebi_data/attachdocs/nov-2022/1667540307426.pdf,https://www.sebi.gov.in/sebi_data/attachdocs/nov-2022/1667540307426.pdf,PRIMARY_TERMS_SCHEDULED_CLOSE_ONLY,,FINAL_OFFER_SCHEDULE,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2020/1579691409907.pdf,,NO,
CA_4dfc5e0e1c28a1095d9d,NSE_EEAD76022193,HERITGFOOD,2023-01-20,2023-01-20,1.0,1.0,5.0,2023-02-13,EXACT_INTEGER,ORDINARY_VERIFIED,https://www.heritagefoods.in/uploads/investors/pdf/167446981431._HERITAGE_FOODS_LIMITED_-_Letter_of_Offer_-_13_January_2023.pdf,https://www.heritagefoods.in/uploads/investors/pdf/16772316782Newspaper_ADD_BasisOfAllotment.pdf,VERIFIED_PRIMARY,,POST_CLOSE_CONFIRMATION,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2020/1579691409907.pdf,,NO,https://www.heritagefoods.in/uploads/investors/pdf/16772316782Newspaper_ADD_BasisOfAllotment.pdf
CA_6d8fe8a065bcc7069dcf,NSE_E7891F352261,CGCL,2023-02-17,2023-02-17,11.0,64.0,475.0,2023-03-10,FLOOR,ORDINARY_VERIFIED,https://www.capriloans.in/wp-content/uploads/2023/02/Capri-Global-Capital-Limited_Letter-of-Offer.pdf,https://www.capriloans.in/wp-content/uploads/2023/02/Capri-Global-Capital-Limited_Letter-of-Offer.pdf,PRIMARY_TERMS_SCHEDULED_CLOSE_ONLY,474.0,FINAL_OFFER_SCHEDULE,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2020/1579691409907.pdf,,YES,
