formation_date,holding_month,is_scored,risk_window_start,risk_window_end,shadow_returns_used,sum_squared_daily_returns,sigma_hat_sq,sigma_hat,volatility_target,exposure,cash_fraction,exposure_capped,risk_estimate_available,risk_status,modelling_shadow_used,modelling_assumption_in_window,modelling_days_in_window,contains_modelled_ADANIENT_day,source_data_max_date,risk_exclusion_reason
2020-11-27,2020-12,True,2020-06-04,2020-11-27,126,0.018248790323635446,0.03649758064727089,0.19104339990502392,0.12,0.628129524807752,0.37187047519224803,False,True,VALID,True,False,0,False,2020-11-27,
2020-12-31,2021-01,True,2020-07-06,2020-12-31,126,0.020423236945792712,0.040846473891585425,0.2021051060502565,0.12,0.5937504615551878,0.40624953844481215,False,True,VALID,True,False,0,False,2020-12-31,
2021-01-29,2021-02,True,2020-08-03,2021-01-29,126,0.02127573933501089,0.04255147867002178,0.2062800976100743,0.12,0.5817332907551399,0.4182667092448601,False,True,VALID,True,False,0,False,2021-01-29,
2021-02-26,2021-03,True,2020-08-31,2021-02-26,126,0.02076315785289558,0.04152631570579116,0.2037800669982007,0.12,0.5888701567708267,0.41112984322917334,False,True,VALID,True,False,0,False,2021-02-26,
2021-03-31,2021-04,True,2020-09-29,2021-03-31,126,0.01625776273415569,0.03251552546831138,0.18032061853352038,0.12,0.665481302004811,0.33451869799518896,False,True,VALID,True,False,0,False,2021-03-31,
2021-04-30,2021-05,True,2020-10-27,2021-04-30,126,0.023154300715780955,0.04630860143156191,0.21519433410655103,0.12,0.5576354995507612,0.4423645004492388,False,True,VALID,True,False,0,False,2021-04-30,
2021-05-31,2021-06,True,2020-11-24,2021-05-31,126,0.022105813464617017,0.044211626929234034,0.2102656104293663,0.12,0.570706734948039,0.42929326505196097,False,True,VALID,True,False,0,False,2021-05-31,
2021-06-30,2021-07,True,2020-12-28,2021-06-30,126,0.019563873755926497,0.039127747511852995,0.19780734948897372,0.12,0.606650866664027,0.393349133335973,False,True,VALID,True,False,0,False,2021-06-30,
2021-07-30,2021-08,True,2021-01-27,2021-07-30,126,0.01920363813807011,0.03840727627614022,0.19597774433884124,0.12,0.612314425828489,0.38768557417151095,False,True,VALID,True,False,0,False,2021-07-30,
2021-08-31,2021-09,True,2021-02-25,2021-08-31,126,0.021263242469089234,0.04252648493817847,0.20621950668687594,0.12,0.5819042142420029,0.4180957857579971,False,True,VALID,True,False,0,False,2021-08-31,
2021-09-30,2021-10,True,2021-03-30,2021-09-30,126,0.018864053061549063,0.037728106123098126,0.19423724185412572,0.12,0.6178011943256552,0.38219880567434483,False,True,VALID,True,False,0,False,2021-09-30,
2021-10-29,2021-11,True,2021-04-30,2021-10-29,126,0.016205149451298504,0.03241029890259701,0.18002860578973834,0.12,0.6665607361318576,0.3334392638681424,False,True,VALID,True,False,0,False,2021-10-29,
2021-11-30,2021-12,True,2021-05-31,2021-11-30,126,0.018819823844771887,0.037639647689543775,0.1940094010339287,0.12,0.6185267278827081,0.3814732721172919,False,True,VALID,True,False,0,False,2021-11-30,
2021-12-31,2022-01,True,2021-07-01,2021-12-31,126,0.0213047562506622,0.0426095125013244,0.20642071722897487,0.12,0.5813369976177751,0.41866300238222487,False,True,VALID,True,False,0,False,2021-12-31,
2022-01-31,2022-02,True,2021-07-30,2022-01-31,126,0.023810310161326557,0.047620620322653115,0.2182214937228987,0.12,0.5499000027576477,0.4500999972423523,False,True,VALID,True,False,0,False,2022-01-31,
2022-02-28,2022-03,True,2021-08-30,2022-02-28,126,0.03152586734133176,0.06305173468266352,0.2511010447661728,0.12,0.47789526368456536,0.5221047363154346,False,True,VALID,True,True,1,False,2022-02-28,
2022-03-31,2022-04,True,2021-09-29,2022-03-31,126,0.03284821205586418,0.06569642411172837,0.2563131368301835,0.12,0.4681773298241215,0.5318226701758785,False,True,VALID,True,True,1,False,2022-03-31,
2022-04-29,2022-05,True,2021-10-27,2022-04-29,126,0.031385555999268275,0.06277111199853655,0.2505416372552406,0.12,0.47896230468770096,0.521037695312299,False,True,VALID,True,True,1,False,2022-04-29,
2022-05-31,2022-06,True,2021-11-29,2022-05-31,126,0.03820571928195031,0.07641143856390062,0.27642619008317687,0.12,0.43411226687272975,0.5658877331272703,False,True,VALID,True,True,1,False,2022-05-31,
2022-06-30,2022-07,True,2021-12-29,2022-06-30,126,0.0409150700401158,0.0818301400802316,0.2860596792283589,0.12,0.41949288457463824,0.5805071154253618,False,True,VALID,True,True,1,False,2022-06-30,
2022-07-29,2022-08,True,2022-01-28,2022-07-29,126,0.03857133619660224,0.07714267239320448,0.27774569734417937,0.12,0.43204989725294407,0.5679501027470559,False,True,VALID,True,True,1,False,2022-07-29,
2022-08-30,2022-09,True,2022-02-25,2022-08-30,126,0.03134655160228886,0.06269310320457772,0.25038590855832465,0.12,0.4792601975524006,0.5207398024475993,False,True,VALID,True,False,0,False,2022-08-30,
2022-09-30,2022-10,True,2022-03-31,2022-09-30,126,0.029558438435364674,0.05911687687072935,0.24313962423004884,0.12,0.4935435776048616,0.5064564223951384,False,True,VALID,True,False,0,False,2022-09-30,
2022-10-31,2022-11,True,2022-04-29,2022-10-31,126,0.028366862642905888,0.056733725285811776,0.23818842391227113,0.12,0.5038028214343365,0.4961971785656635,False,True,VALID,True,False,0,False,2022-10-31,
2022-11-30,2022-12,True,2022-05-31,2022-11-30,126,0.01777722742965003,0.03555445485930006,0.18855888963212544,0.12,0.636405953779838,0.363594046220162,False,True,VALID,True,True,1,False,2022-11-30,
2022-12-30,2023-01,True,2022-06-30,2022-12-30,126,0.017026714489403575,0.03405342897880715,0.18453571193350937,0.12,0.6502806353451931,0.3497193646548069,False,True,VALID,True,True,1,False,2022-12-30,
2023-01-31,2023-02,True,2022-07-29,2023-01-31,126,0.01845222891437013,0.03690445782874026,0.1921053300373008,0.12,0.6246573167787681,0.3753426832212319,False,True,VALID,True,True,1,False,2023-01-31,
2023-02-28,2023-03,True,2022-08-30,2023-02-28,126,0.018907386419905282,0.037814772839810565,0.194460208885547,0.12,0.6170928267933113,0.38290717320668866,False,True,VALID,True,True,1,False,2023-02-28,
