event_id,security_id,symbol,series,ex_date,primary_class,purpose_normalized,source_file,repair_status,parsed_amount_or_ratio,membership_status,identity_candidate_count,identity_mapping_method,treatment_reviewed_for_in_universe_event,accepted_status,accepted_evidence,previous_close,ex_date_close,calculated_price_return,application_status,application_reason,cash_effect,share_effect,entitlement_effect,calculated_total_return
CA_8eb472a330ec170f7b1d,NSE_E7891F352261,CGCL,EQ,2013-09-19,DIVIDEND,ANNUAL GENERAL MEETING / FINAL DIVIDEND - RS 1.50/- PER SHARE,corporate_actions_20130901_20130930.json,UNCHANGED,1.5,PRE_MEMBERSHIP,1,DATED_ALIAS,False,,,,,,RETURN_UNAVAILABLE_EXPLICIT,MARKET_OR_PREVIOUS_SESSION_UNAVAILABLE,1.5,1.0,0.0,
CA_e5598f8d745f586b4573,NSE_9B4AC7DEFB0B,RUPA,EQ,2013-09-19,DIVIDEND,ANNUAL GENERAL MEETING / DIVIDEND - RS 2/- PER SHARE,corporate_actions_20130901_20130930.json,UNCHANGED,2.0,PRE_MEMBERSHIP,1,DATED_ALIAS,False,,,,165.0,,RETURN_UNAVAILABLE_EXPLICIT,MARKET_OR_PREVIOUS_SESSION_UNAVAILABLE,2.0,1.0,0.0,
CA_c0367514c7cc21c72f42,NSE_3FA872F937F6,MARICO,EQ,2013-11-01,STRUCTURAL,SCHEME OF ARRANGEMENT AND FIRST INTERIM DIVIDEND,corporate_actions_20131101_20131130.json,UNCHANGED,,PRE_MEMBERSHIP,1,DATED_ALIAS,False,,,211.95,209.5,-0.011559330030667558,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_da358b5ba768a8db9eb1,NSE_8EE3E878FAE5,SONATSOFTW,EQ,2013-11-15,DIVIDEND,INTERIM DIVIDEND - RE 1/- PER SHARE (PURPOSE REVISED),corporate_actions_20131101_20131130.json,UNCHANGED,1.0,PRE_MEMBERSHIP,1,DATED_ALIAS,False,,,,,,RETURN_UNAVAILABLE_EXPLICIT,MARKET_OR_PREVIOUS_SESSION_UNAVAILABLE,1.0,1.0,0.0,
CA_943bf15d9518ab3239fe,NSE_AE2862139B09,WHEELS,EQ,2014-02-13,RIGHTS,RIGHTS 51:20 @ PREMIUM RS.390/- PER EQUITY SHARE,corporate_actions_20140201_20140228.json,UNCHANGED,,PRE_MEMBERSHIP,1,DATED_ALIAS,False,,,1054.55,749.55,-0.28922289128064105,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_f8990b3551e9950dca04,NSE_DD6A0E2BA440,WELCORP,EQ,2014-02-18,STRUCTURAL,SCHEME OF ARRANGEMENT,corporate_actions_20140201_20140228.json,UNCHANGED,,PRE_MEMBERSHIP,1,DATED_ALIAS,False,,,64.05,63.2,-0.013270882123341043,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_2a13e69ce26f43736219,NSE_0144F0CB1BA0,ZEEL,EQ,2014-03-03,PREFERENCE_SHARE_BONUS,BONUS PREFERENCE SHARES 21:1,corporate_actions_20140301_20140331.json,RECLASSIFIED,,PRE_MEMBERSHIP,1,DATED_ALIAS,False,,,268.7,267.3,-0.005210271678451672,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_8274f48d00b93a70bd00,NSE_938AB0376CFC,IL&FSTRANS,EQ,2014-03-13,RIGHTS,RIGHTS 27:100 @ PREMIUM RS.90/- PER EQUITY SHARE,corporate_actions_20140301_20140331.json,UNCHANGED,,PRE_MEMBERSHIP,1,DATED_ALIAS,False,,,127.05,120.5,-0.051554506099960595,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_58169035bd7640bbf863,NSE_53A37C11E6D9,TATAPOWER,EQ,2014-03-19,RIGHTS,RIGHTS 7:50 @ PREMIUM RS.59/- PER EQUITY SHARE,corporate_actions_20140301_20140331.json,UNCHANGED,,PRE_MEMBERSHIP,1,DATED_ALIAS,False,,,83.9,79.4,-0.05363528009535157,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
CA_87b9ca6e3249d808b38e,NSE_D701BCB8CF79,RAMCOSYS,EQ,2014-04-22,RIGHTS,RIGHTS 1:2 @ PREMIUM RS.145/- PER EQUITY SHARE,corporate_actions_20140401_20140430.json,UNCHANGED,,PRE_MEMBERSHIP,1,DATED_ALIAS,False,,,180.2,171.95,-0.04578246392896779,RETURN_UNAVAILABLE_EXPLICIT,TREATMENT_NOT_ACCEPTED,0.0,1.0,0.0,
