left_isin,right_isin,old_symbol,new_symbol,effective_date,evidence,joined
INE451D01011,INE451D01029,RAJRATAN,RAJRATAN,2022-03-16,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE533D01016,INE533D01024,RAJRAYON,RAJRAYON,2013-03-05,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE952H01019,INE952H01027,RAJTV,RAJTV,2014-03-26,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE230R01019,INE230R01027,RAMASTEEL,RAMASTEEL,2016-03-15,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE230R01027,INE230R01035,RAMASTEEL,RAMASTEEL,2022-08-26,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE904G01020,INE904G01038,RASOYPR,RASOYPR,2013-03-22,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE131B01021,INE131B01039,RELAXO,RELAXO,2013-11-25,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE722H01016,INE722H01024,RGL,RGL,2022-07-20,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE399G01015,INE399G01023,RKFORGE,RKFORGE,2022-03-15,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE165B01011,INE165B01029,RSSOFTWARE,RSSOFTWARE,2015-01-22,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE411H01024,INE411H01032,RSYSTEMS,RSYSTEMS,2014-02-28,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE229C01013,INE229C01021,SAGCEM,SAGCEM,2021-08-20,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE667G01015,INE667G01023,SAKSOFT,SAKSOFT,2022-09-26,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE190H01016,INE190H01024,SAKUMA,SAKUMA,2018-11-13,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE170V01019,INE170V01027,SALASAR,SALASAR,2022-06-28,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE979A01017,INE979A01025,SAREGAMA,SAREGAMA,2022-04-27,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE453D01017,INE453D01025,SARLAPOLY,SARLAPOLY,2015-10-30,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE170E01015,INE170E01023,SATIA,SATIA,2019-10-16,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE04AK01010,INE04AK01028,SBC,SBC,2022-02-23,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE062A01012,INE062A01020,SBIN,SBIN,2014-11-21,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE513A01014,INE513A01022,SCHAEFFLER,SCHAEFFLER,2022-02-09,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE480C01012,INE480C01020,SDBL,SDBL,2020-10-16,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE782X01017,INE782X01025,SERVOTECH,SERVOTECH,2023-02-03,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE630A01016,INE630A01024,SESHAPAPER,SESHAPAPER,2019-08-20,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INF200K01099,INF200KA16D8,SETFGOLD,SETFGOLD,2022-01-07,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE597I01010,INE597I01028,SHARDAMOTR,SHARDAMOTR,2021-04-19,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE028B01011,INE028B01029,SHARONBIO,SHARONBIO,2014-02-21,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE790G01023,INE790G01031,SHILPAMED,SHILPAMED,2015-11-09,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE637H01016,INE637H01024,SHIVAMAUTO,SHIVAMAUTO,2014-10-31,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE715Y01015,INE715Y01023,SHRADHA,SHRADHA,2023-01-20,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE632X01022,INE632X01030,SHRENIK,SHRENIK,2020-10-09,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE529F01019,INE529F01027,SIGNET,SIGNET,2015-08-19,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE285J01010,INE285J01028,SIS,SIS,2020-01-16,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE076B01010,INE076B01028,SIYSIL,SIYSIL,2017-10-26,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE812G01017,INE812G01025,SMSPHARMA,SMSPHARMA,2015-12-18,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE343H01011,INE343H01029,SOLARINDS,SOLARINDS,2016-07-14,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE035D01012,INE035D01020,SOTL,SOTL,2022-09-02,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE943B01011,INE943B01029,SOUISPAT,SOUISPAT,2014-09-23,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE663A01025,INE663A01033,SPLPETRO,SPLPETRO,2023-01-06,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE268L01012,INE268L01020,SPYL,SPYL,2013-04-12,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE802C01017,INE802C01025,SSWL,SSWL,2021-11-22,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE802C01025,INE802C01033,SSWL,SSWL,2022-11-11,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE503B01013,INE503B01021,STEELXIND,STEELXIND,2022-07-13,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE334A01015,INE334A01023,STERTOOLS,STERTOOLS,2017-01-10,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE659A01015,INE659A01023,SUDARSCHEM,SUDARSCHEM,2014-10-07,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE305H01010,INE305H01028,SUNILHITEC,SUNILHITEC,2016-12-02,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE805D01026,INE805D01034,SUNTECK,SUNTECK,2017-07-26,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE319Z01013,INE319Z01021,SUPREMEENG,SUPREMEENG,2022-03-04,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE272L01014,INE272L01022,SURANASOL,SURANASOL,2014-11-26,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE130B01023,INE130B01031,SURANAT&P,SURANAT&P,2014-11-26,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE645H01019,INE645H01027,SUTLEJTEX,SUTLEJTEX,2017-09-27,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE665A01020,INE665A01038,SWANENERGY,SWANENERGY,2014-02-04,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE493A01019,INE493A01027,TATACOFFEE,TATACOFFEE,2015-01-27,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE081A01012,INE081A01020,TATASTEEL,TATASTEEL,2022-07-29,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE419M01019,INE419M01027,TDPOWERSYS,TDPOWERSYS,2022-11-01,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE669C01028,INE669C01036,TECHM,TECHM,2015-03-20,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE484C01014,INE484C01022,TIDEWATER,TIDEWATER,2016-03-17,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE484C01022,INE484C01030,TIDEWATER,TIDEWATER,2021-07-27,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE338A01016,INE338A01024,TIRUMALCHM,TIRUMALCHM,2018-08-16,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE319Y01016,INE319Y01024,TIRUPATIFL,TIRUPATIFL,2021-10-08,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE413G01014,INE413G01022,TPLPLASTEH,TPLPLASTEH,2022-10-20,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE849A01012,INE849A01020,TRENT,TRENT,2016-09-14,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE064C01014,INE064C01022,TRIDENT,TRIDENT,2019-12-16,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE763I01018,INE763I01026,TRIL,TRIL,2017-09-29,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE690A01010,INE690A01028,TTKPRESTIG,TTKPRESTIG,2021-12-15,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE615H01012,INE615H01020,TWL,TWL,2015-04-24,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE950G01015,INE950G01023,UNIPLY,UNIPLY,2018-06-26,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INF789F1AUN8,INF789F1AUV1,UTIBANKETF,UTIBANKETF,2021-02-19,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INF789FC1N82,INF789F1AUW9,UTINEXT50,UTINEXT50,2021-03-26,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INF789F1AHR6,INF789F1AUU3,UTISXN50,UTISXN50,2021-02-19,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE884A01019,INE884A01027,VAIBHAVGBL,VAIBHAVGBL,2021-05-10,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE098201028,INE098201036,VCL,VCL,2023-02-15,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE951I01019,INE951I01027,VGUARD,VGUARD,2016-08-31,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE159N01019,INE159N01027,VIJIFIN,VIJIFIN,2016-10-26,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE806A01012,INE806A01020,VIKASGLOB,VIKASGLOB,2014-03-31,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE410B01029,INE410B01037,VINATIORGA,VINATIORGA,2020-02-06,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE01KI01019,INE01KI01027,VINNY,VINNY,2023-02-27,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE861A01017,INE861A01058,VISESHINFO,VISESHINFO,2013-01-04,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE270I01014,INE270I01022,VISHNU,VISHNU,2023-01-13,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE430N01014,INE430N01022,VISHWARAJ,VISHWARAJ,2021-10-22,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE526G01013,INE526G01021,VIVIMEDLAB,VIVIMEDLAB,2016-04-07,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE213M01016,INE213M01024,VKSPL,VKSPL,2013-02-28,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE825A01012,INE825A01020,VTL,VTL,2022-03-25,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE192B01023,INE192B01031,WELSPUNIND,WELSPUNIND,2016-03-22,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE528G01019,INE528G01027,YESBANK,YESBANK,2017-09-22,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE528G01027,INE528G01035,YESBANK,YESBANK,2020-03-16,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE520A01019,INE520A01027,ZENSARTECH,ZENSARTECH,2018-09-10,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE466L01020,INE466L01020,IIFLWAM,360ONE,2023-01-23,OFFICIAL_SYMBOL_CHANGE,False
INE105C01023,INE105C01023,PDUMJEIND,3PLAND,2018-05-04,OFFICIAL_SYMBOL_CHANGE,False
INE111B01023,INE111B01023,FINANTECH,63MOONS,2017-01-19,OFFICIAL_SYMBOL_CHANGE,False
INE619I01012,INE619I01012,A2ZMES,A2ZINFRA,2014-12-31,OFFICIAL_SYMBOL_CHANGE,False
INE181G01025,INE181G01025,GAMMNINFRA,AJRINFRA,2021-08-16,OFFICIAL_SYMBOL_CHANGE,False
INE435A01028,INE435A01028,IPAPPM,ANDPAPER,2020-01-22,OFFICIAL_SYMBOL_CHANGE,False
INE435A01028,INE435A01028,APPAPER,IPAPPM,2014-01-21,OFFICIAL_SYMBOL_CHANGE,False
INE435A01028,INE435A01028,ANDPAPER,ANDHRAPAP,2020-03-05,OFFICIAL_SYMBOL_CHANGE,False
INE555B01013,INE555B01013,AXIS-IT&T,AXISCADES,2014-10-08,OFFICIAL_SYMBOL_CHANGE,False
INE193B01039,INE193B01039,WELSYNTEX,AYMSYNTEX,2016-02-03,OFFICIAL_SYMBOL_CHANGE,False
INE399L01023,INE399L01023,ADANIGAS,ATGL,2021-01-13,OFFICIAL_SYMBOL_CHANGE,False
INE647O01011,INE647O01011,PFRL,ABFRL,2016-01-29,OFFICIAL_SYMBOL_CHANGE,False
INE737B01033,INE737B01033,SPHEREGSL,ADROITINFO,2018-04-19,OFFICIAL_SYMBOL_CHANGE,False
INE606A01024,INE606A01024,PDUMJEPULP,AMJLAND,2018-01-19,OFFICIAL_SYMBOL_CHANGE,False
INE732I01013,INE732I01013,ANGELBRKG,ANGELONE,2021-11-11,OFFICIAL_SYMBOL_CHANGE,False
INE570D01018,INE570D01018,ARROWCOAT,ARROWGREEN,2016-05-11,OFFICIAL_SYMBOL_CHANGE,False
INE034S01021,INE034S01021,ARVINFRA,ARVSMART,2016-12-05,OFFICIAL_SYMBOL_CHANGE,False
INE898S01029,INE898S01029,MAJESCO,AURUM,2021-10-22,OFFICIAL_SYMBOL_CHANGE,False
INE618N01014,INE618N01014,ANANDAMRUB,BALAXI,2017-09-27,OFFICIAL_SYMBOL_CHANGE,False
INE836A01035,INE836A01035,KPIT,BSOFT,2019-02-26,OFFICIAL_SYMBOL_CHANGE,False
INE666D01022,INE666D01022,BOROSIL,BORORENEW,2020-02-20,OFFICIAL_SYMBOL_CHANGE,False
INE933K01021,INE933K01021,BAJAJCORP,BAJAJCON,2019-01-15,OFFICIAL_SYMBOL_CHANGE,False
INE875R01011,INE875R01011,NIRVIKARA,BALKRISHNA,2016-09-06,OFFICIAL_SYMBOL_CHANGE,False
INE180K01011,INE180K01011,SKSMICRO,BHARATFIN,2016-07-01,OFFICIAL_SYMBOL_CHANGE,False
INE673G01013,INE673G01013,BHARTISHIP,BHARATIDIL,2016-02-26,OFFICIAL_SYMBOL_CHANGE,False
INE800A01015,INE800A01015,BIRLAERIC,BIRLACABLE,2016-09-26,OFFICIAL_SYMBOL_CHANGE,False
INE831Q01016,INE831Q01016,MANAKINDST,BKMINDST,2017-11-23,OFFICIAL_SYMBOL_CHANGE,False
INE676A01019,INE676A01019,AGCNET,BBOX,2021-12-03,OFFICIAL_SYMBOL_CHANGE,False
INE425B01027,INE425B01027,LYCOS,BCG,2018-10-08,OFFICIAL_SYMBOL_CHANGE,False
INE482D01024,INE482D01024,ACRYSIL,CARYSIL,2022-11-18,OFFICIAL_SYMBOL_CHANGE,False
INE067A01029,INE067A01029,CROMPGREAV,CGPOWER,2017-03-08,OFFICIAL_SYMBOL_CHANGE,False
