date,tri,tri_wealth_from_development_anchor
2019-08-23,13168.84,13318675.094816688
2019-08-26,13429.74,13582543.615676358
2019-08-27,13516.01,13669795.195954489
2019-08-28,13439.14,13592050.568900127
2019-08-29,13342.2,13494007.585335018
2019-08-30,13449.3,13602326.169405816
2019-09-03,13186.84,13336879.8988622
2019-09-04,13232.93,13383494.310998736
2019-09-05,13252.79,13403580.278128952
2019-09-06,13363.98,13516035.398230089
2019-09-09,13442.01,13594953.223767383
2019-09-11,13506.72,13660399.494311
2019-09-12,13457.64,13610761.061946902
2019-09-13,13561.51,13715812.895069532
2019-09-16,13499.13,13652723.135271806
2019-09-17,13266.59,13417537.294563843
2019-09-18,13302.38,13453734.513274334
2019-09-19,13136.23,13285694.058154235
2019-09-20,13831.67,13989046.776232617
2019-09-23,14215.41,14377152.970922882
2019-09-24,14197.74,14359281.921618205
2019-09-25,14002.03,14161345.132743362
2019-09-26,14151.32,14312333.754740834
2019-09-27,14079.08,14239271.80783818
2019-09-30,13997.16,14156419.72187105
2019-10-01,13840.55,13998027.812895069
2019-10-03,13783.58,13940409.608091025
2019-10-04,13623.62,13778629.582806576
2019-10-07,13547.24,13701380.530973451
2019-10-09,13752.94,13909420.986093553
2019-10-10,13655.23,13810599.241466498
2019-10-11,13728.17,13884369.152970923
2019-10-14,13774.96,13931691.52970923
2019-10-15,13866.69,14024465.233881162
2019-10-16,13908.64,14066892.54108723
2019-10-17,14082.13,14242356.51074589
2019-10-18,14214.37,14376101.137800252
2019-10-22,14167.96,14329163.084702907
2019-10-23,14191.33,14352798.988621997
2019-10-24,14159.98,14321092.288242731
2019-10-25,14150.16,14311160.556257902
2019-10-27,14221.03,14382836.915297093
2019-10-29,14401.14,14564996.20733249
2019-10-30,14475.42,14640121.365360303
2019-10-31,14539.09,14704515.80278129
2019-11-01,14560.64,14726310.998735778
2019-11-04,14603.78,14769941.845764855
2019-11-05,14546.54,14712050.568900127
2019-11-06,14587.66,14753638.432364097
2019-11-07,14653.33,14820055.62579014
2019-11-08,14531.75,14697092.288242731
2019-11-11,14550.59,14716146.649810366
2019-11-13,14457.92,14622422.250316055
2019-11-14,14482.84,14647625.790139064
2019-11-15,14508.27,14673345.132743362
2019-11-18,14510.92,14676025.284450063
2019-11-19,14561.55,14727231.352718078
2019-11-20,14625.8,14792212.389380531
2019-11-21,14577.67,14743534.766118838
2019-11-22,14528.11,14693410.872313527
2019-11-25,14712.37,14879767.383059418
2019-11-26,14653.52,14820247.78761062
2019-11-27,14733.2,14900834.386852086
2019-11-28,14814.01,14982563.84323641
2019-11-29,14729.77,14897365.360303413
2019-12-02,14706.31,14873638.432364097
2019-12-03,14624.06,14790452.591656132
2019-12-04,14682.49,14849547.408343868
2019-12-05,14645.76,14812399.494311
2019-12-06,14513.39,14678523.388116308
2019-12-09,14516.42,14681587.86346397
2019-12-10,14402.73,14566604.29835651
2019-12-11,14464.04,14628611.883691529
2019-12-12,14546.39,14711898.862199748
2019-12-13,14685.18,14852268.01517067
2019-12-16,14639.27,14805835.651074588
2019-12-17,14756.84,14924743.362831859
2019-12-18,14806.69,14975160.556257902
2019-12-19,14848.8,15017749.683944374
2019-12-20,14868.41,15037582.806573957
2019-12-23,14856.94,15025982.300884956
2019-12-24,14813.0,14981542.351453856
2019-12-26,14736.19,14903858.407079646
2019-12-27,14873.5,15042730.720606826
2019-12-30,14897.54,15067044.24778761
2019-12-31,14819.29,14987903.91908976
2020-01-01,14843.29,15012176.991150443
2020-01-02,14980.54,15150988.621997472
2020-01-03,14922.99,15092783.817951959
2020-01-06,14631.41,14797886.219974715
2020-01-07,14718.47,14885936.788874842
2020-01-08,14698.65,14865891.276864728
2020-01-09,14926.45,15096283.185840707
2020-01-10,14977.61,15148025.284450063
2020-01-13,15074.41,15245926.675094817
2020-01-14,15124.47,15296556.257901391
2020-01-15,15141.31,15313587.86346397
2020-01-16,15175.81,15348480.4045512
