date,strategy,after_tax_nav,after_tax_daily_return,tax_liability,tax_paid_before_close,daily_fees_and_impact,realised_equity_exposure,nav_status,matched_before_tax_nav,matched_cost_tax_reversed_nav,after_tax_return,matched_before_tax_return,matched_cost_tax_reversed_return,zero_friction_reference_nav,zero_friction_reference_return
2023-03-09,FIX,17378563.83237164,-0.0064495332561888,0.0,1521259.434375281,0.0,0.687939835457726,UNPRICED_FRACTIONAL_SPLIT_CLAIM_EXCLUDED,18899823.266746923,20064728.933333296,-0.0064495332561888,-0.005933486238723917,-0.0055909295298924855,20845466.387987733,-0.0061381840201832315
2023-03-10,FIX,17275589.134038307,-0.005925385971280339,0.0,1521259.434375281,0.0,0.686079736733667,UNPRICED_FRACTIONAL_SPLIT_CLAIM_EXCLUDED,18796848.56841359,19961754.234999962,-0.005925385971280339,-0.005448447685461266,-0.005132125067598747,20731716.483521327,-0.005456817436905946
2023-03-13,FIX,16969101.949038308,-0.017741055463985522,0.0,1521259.434375281,0.0,0.6804098705208348,UNPRICED_FRACTIONAL_SPLIT_CLAIM_EXCLUDED,18490361.38341359,19655267.049999963,-0.017741055463985522,-0.01630524307755621,-0.015353719988327463,20393815.219016932,-0.016298759669657794
2023-03-14,FIX,16848269.632371638,-0.0071207254826775035,0.0,1521259.434375281,0.0,0.6781178359931721,UNPRICED_FRACTIONAL_SPLIT_CLAIM_EXCLUDED,18369529.06674692,19534434.733333293,-0.0071207254826775035,-0.006534881290911954,-0.006147579494050648,20249884.928997498,-0.0070575460488246445
2023-03-15,FIX,16835566.211260527,-0.0007539896611520325,0.0,1521259.434375281,0.0,0.677813390950266,UNPRICED_FRACTIONAL_SPLIT_CLAIM_EXCLUDED,18356825.64563581,19521731.312222183,-0.0007539896611520325,-0.0006915485456895354,-0.000650309122558479,20233435.17594628,-0.0008123381001371454
2023-03-16,FIX,16794295.02348275,-0.0024514285566571425,0.0,1521259.434375281,0.0,0.677021632557134,UNPRICED_FRACTIONAL_SPLIT_CLAIM_EXCLUDED,18315554.457858033,19480460.124444406,-0.0024514285566571425,-0.0022482747602708963,-0.002114115142642925,20194818.123919055,-0.0019085761607664266
2023-03-17,FIX,16918826.392927196,0.007415099548407245,0.0,1521259.434375281,0.0,0.6793989214697624,UNPRICED_FRACTIONAL_SPLIT_CLAIM_EXCLUDED,18440085.82730248,19604991.49388885,0.007415099548407245,0.006799213735569687,0.006392629776140746,20327776.875918593,0.006583805369460423
2023-03-20,FIX,16759560.619593862,-0.00941352370634374,0.0,1521259.434375281,0.0,0.6762615612550713,UNPRICED_FRACTIONAL_SPLIT_CLAIM_EXCLUDED,18280820.053969145,19445725.720555518,-0.00941352370634374,-0.008636932323683899,-0.008123735905877782,20149809.672681987,-0.008754877836515022
2023-03-21,FIX,16837501.74959386,0.004650547336478406,0.0,1521259.434375281,0.0,0.6777601529176275,UNPRICED_FRACTIONAL_SPLIT_CLAIM_EXCLUDED,18358761.183969144,19523666.850555517,0.004650547336478406,0.004263546699212473,0.004008136858456801,20247815.83651767,0.004863875412607483
2023-03-22,FIX,16895853.715149418,0.003465595218540285,0.0,1521259.434375281,0.0,0.6788730489437523,UNPRICED_FRACTIONAL_SPLIT_CLAIM_EXCLUDED,18417113.1495247,19582018.816111073,0.003465595218540285,0.003178426091544173,0.0029887810523614444,20320345.809317168,0.0035821134183121415
2023-03-23,FIX,16850842.61237164,-0.00266403246243907,0.0,1521259.434375281,0.0,0.6780152711737497,UNPRICED_FRACTIONAL_SPLIT_CLAIM_EXCLUDED,18372102.04674692,19537007.713333294,-0.00266403246243907,-0.002443982529310884,-0.002298593582227948,20265794.92283374,-0.002684545184187496
2023-03-24,FIX,16690145.215149418,-0.00953646063397684,0.0,1521259.434375281,0.0,0.6748273236045825,UNPRICED_FRACTIONAL_SPLIT_CLAIM_EXCLUDED,18211404.6495247,19376310.316111073,-0.00953646063397684,-0.00874681605911698,-0.008225281966416476,20089415.37640298,-0.008703312507718533
2023-03-27,FIX,16559286.475149417,-0.007840479415434976,0.0,1521259.434375281,0.0,0.6722576665858825,UNPRICED_FRACTIONAL_SPLIT_CLAIM_EXCLUDED,18080545.909524698,19245451.57611107,-0.007840479415434976,-0.007185537992173363,-0.006753542747052088,19937575.16285121,-0.007558219624953451
2023-03-28,FIX,16471474.545149418,-0.005302881264345527,0.0,1521259.434375281,0.0,0.6705104224784464,UNPRICED_FRACTIONAL_SPLIT_CLAIM_EXCLUDED,17992733.979524698,19157639.64611107,-0.005302881264345527,-0.004856707891421674,-0.004562736792780631,19850600.505037073,-0.004362348836491986
2023-03-29,FIX,16835816.980149418,0.02211960040379579,0.0,1521259.434375281,0.0,0.6776408774556457,UNPRICED_FRACTIONAL_SPLIT_CLAIM_EXCLUDED,18357076.4145247,19521982.081111073,0.02211960040379579,0.020249420427969067,0.019018127584102595,20303403.794000063,0.022810558745973136
