date,tri,index_name,source_file,tri_return,calendar_gap_days
2013-04-22,6337.53,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.010530192984442355,4.0
2013-04-23,6334.75,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.00043865670063880646,1.0
2013-04-25,6406.71,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.011359564307983794,2.0
2013-04-26,6361.47,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.007061346619403719,1.0
2013-04-29,6401.95,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.006363309109372439,3.0
2013-04-30,6430.9,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.004522059684939794,1.0
2013-05-02,6504.78,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.011488283132998545,2.0
2013-05-03,6455.0,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.007652833762248679,1.0
2013-05-06,6491.76,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.005694810224632141,3.0
2013-05-07,6563.83,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.01110176593096468,1.0
2013-05-08,6587.26,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.003569562282996319,1.0
2013-05-09,6564.15,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.003508287208945804,1.0
2013-05-10,6610.48,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.007058034932169388,1.0
2013-05-11,6625.08,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.0022086142004817955,1.0
2013-05-13,6500.34,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.01882845188284521,2.0
2013-05-14,6518.01,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.0027183193494493274,1.0
2013-05-15,6668.38,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.023069924716285994,1.0
2013-05-16,6695.1,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.00400697020865648,1.0
2013-05-17,6718.54,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.003501067945213654,1.0
2013-05-20,6683.64,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.005194580965507289,3.0
2013-05-21,6636.87,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.006997683896798779,1.0
2013-05-22,6607.3,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.004455413470506375,1.0
2013-05-23,6471.07,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.020618104218061872,1.0
2013-05-24,6495.21,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.003730449523803747,1.0
2013-05-27,6593.3,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.015101898168034644,3.0
2013-05-28,6623.8,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.004625908118847999,1.0
2013-05-29,6609.41,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.002172468975512598,1.0
2013-05-30,6625.94,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.002500979663842884,1.0
2013-05-31,6502.47,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.018634337165745474,1.0
2013-06-03,6471.69,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.0047335858527606245,3.0
2013-06-04,6462.34,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.0014447539977964219,1.0
2013-06-05,6467.86,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.0008541797553207608,1.0
2013-06-06,6465.38,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.0003834343971576004,1.0
2013-06-07,6420.57,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.006930760450275186,1.0
2013-06-10,6397.44,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.003602483891617103,3.0
2013-06-11,6293.93,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.016179909463785447,1.0
2013-06-12,6255.65,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.006082050483561252,1.0
2013-06-13,6182.9,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.011629486943802836,1.0
2013-06-14,6292.36,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.01770366656423361,1.0
2013-06-17,6336.52,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.007018034568905929,3.0
2013-06-18,6313.16,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.0036865661277799555,1.0
2013-06-19,6329.95,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.002659523915123252,1.0
2013-06-20,6160.34,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.026794840401582865,1.0
2013-06-21,6147.39,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.002102156699143154,1.0
2013-06-24,6043.8,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.016851053861882903,3.0
2013-06-25,6050.09,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.0010407359608193278,1.0
2013-06-26,6030.01,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.0033189588915205626,1.0
2013-06-27,6114.89,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.01407626189674649,1.0
2013-06-28,6277.73,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.026630078382440026,1.0
2013-07-01,6362.81,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.013552669515892068,3.0
2013-07-02,6322.22,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.006379256963511382,1.0
2013-07-03,6225.59,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.015284188149099487,1.0
2013-07-04,6289.54,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.010272118787135076,1.0
2013-07-05,6315.8,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.004175186102640227,1.0
