membership_symbol,identity_id,canonical_symbol,aliases,observed_in_prices
CEATLTD,ID_5a5e4fd68956,CEATLTD,CEATLTD,True
CELLO,ID_7c827b2d23e0,CELLO,CELLO,True
CEMPRO,ID_1b38d024fbc6,CEMPRO,CEMPRO;ITDCEM;TRAFALHSE,True
CENTRALBK,ID_2690e545b916,CENTRALBK,CENTRALBK,True
CENTURYPLY,ID_0ae4921b3f94,CENTURYPLY,CENTURYPLY,True
CENTURYTEX,ID_8f98bf6ad85d,ABREL,ABREL;CENTURYTEX,True
CERA,ID_c5afb02a5d23,CERA,CERA,True
CESC,ID_7a638e3be593,CESC,CESC,True
CGCL,ID_d511517df6b9,CGCL,CGCL;MMFSL,True
CGPOWER,ID_25bd1deae1b7,CGPOWER,CGPOWER;CROMPGREAV,True
CHALET,ID_5f4e60c1ecc4,CHALET,CHALET,True
CHAMBLFERT,ID_63113444ab6b,CHAMBLFERT,CHAMBLFERT,True
CHEMPLASTS,ID_7a734a92cf2f,CHEMPLASTS,CHEMPLASTS,True
CHENNPETRO,ID_e62b84cd1eb7,CHENNPETRO,CHENNPETRO;MADRASREFN,True
CHOICEIN,ID_3c3ff2b41f16,CHOICEIN,CHOICEIN,True
CHOLAFIN,ID_cc95c3487093,CHOLAFIN,CHOLADBS;CHOLAFIN;CHOLAINV,True
CHOLAHLDNG,ID_9ddadec1b3de,CHOLAHLDNG,CHOLAHLDNG;TIFIN,True
CIEINDIA,ID_8d983b8f10bd,CIEINDIA,CIEINDIA;MAHINDCIE;MAHINDFORG,True
CIPLA,ID_7077608ce7b8,CIPLA,CIPLA,True
CLEAN,ID_2f3d2737147b,CLEAN,CLEAN,True
CMC,ID_e3aa2c640799,CMC,CMC,True
COALINDIA,ID_277700452551,COALINDIA,COALINDIA,True
COCHINSHIP,ID_adbe14d9bf53,COCHINSHIP,COCHINSHIP,True
COFFEEDAY,ID_12996cc9004a,COFFEEDAY,COFFEEDAY,True
COFORGE,ID_473919d6bc82,COFORGE,COFORGE;NIITTECH,True
COHANCE,ID_f4d9ce3c7d28,COHANCE,COHANCE;SUVENPHAR,True
COLPAL,ID_465c9455863f,COLPAL,COLPAL,True
CONCOR,ID_b51d535da3c9,CONCOR,CONCOR,True
CONCORDBIO,ID_940862003268,CONCORDBIO,CONCORDBIO,True
