symbol_a,symbol_b,source,evidence,effective_date
DCMSRMCONS,DCMSHRIRAM,nse_symbolchange,symbolchange.csv,2014-03-13
DEEPIND,DEEPENR,nse_symbolchange,symbolchange.csv,2020-09-30
WEIZFOREX,EBIXFOREX,nse_symbolchange,symbolchange.csv,2020-03-20
EBIXFOREX,DELPHIFX,nse_symbolchange,symbolchange.csv,2021-09-01
KBCGLOBAL,DHARAN,nse_symbolchange,symbolchange.csv,2025-06-26
COATESIND,DICIND,nse_symbolchange,symbolchange.csv,2004-09-06
DHARAMSI,DMCC,nse_symbolchange,symbolchange.csv,2022-11-02
DSPN50ETF,NIFTY50ADD,nse_symbolchange,symbolchange.csv,2024-02-15
NIFTY50ADD,NIFTYADD,nse_symbolchange,symbolchange.csv,2025-12-15
DSPNEWETF,EQUAL50ADD,nse_symbolchange,symbolchange.csv,2024-02-15
DSPBANKETF,BANKETFADD,nse_symbolchange,symbolchange.csv,2024-02-15
BANKETFADD,BANKADD,nse_symbolchange,symbolchange.csv,2025-12-15
DSPQ50ETF,MIDQ50ADD,nse_symbolchange,symbolchange.csv,2024-02-15
DSPSILVETF,SILVERADD,nse_symbolchange,symbolchange.csv,2024-02-15
DSPSENXETF,SENSEXADD,nse_symbolchange,symbolchange.csv,2024-02-15
DSPGOLDETF,GOLDETFADD,nse_symbolchange,symbolchange.csv,2024-02-15
GOLDETFADD,GOLDADD,nse_symbolchange,symbolchange.csv,2025-12-15
DSPITETF,ITETFADD,nse_symbolchange,symbolchange.csv,2024-02-15
ITETFADD,ITADD,nse_symbolchange,symbolchange.csv,2025-12-15
DSPPSBKETF,PSUBANKADD,nse_symbolchange,symbolchange.csv,2024-02-15
DSPPVBKETF,PVTBANKADD,nse_symbolchange,symbolchange.csv,2024-02-15
DALMIABEL,DALMIABHA,nse_symbolchange,symbolchange.csv,2013-01-09
DALMIACEM,DALMIASUG,nse_symbolchange,symbolchange.csv,2010-09-30
SHRINATRAJ,DALMIAREF,nse_symbolchange,symbolchange.csv,2014-05-22
DATATECH,DATAMATICS,nse_symbolchange,symbolchange.csv,2009-04-20
TITANOCOMP,DENORA,nse_symbolchange,symbolchange.csv,2007-08-20
DECCANCEM,DECCANCE,nse_symbolchange,symbolchange.csv,2007-08-02
ARROWGROUP,DELTACORP,nse_symbolchange,symbolchange.csv,2008-12-11
GPELECT,DELTAMAGNT,nse_symbolchange,symbolchange.csv,2008-12-15
DEWANHOUS,DHFL,nse_symbolchange,symbolchange.csv,2012-05-22
ICFL,DHANILOANS,nse_symbolchange,symbolchange.csv,2020-09-17
IBVENTURES,DHANI,nse_symbolchange,symbolchange.csv,2020-10-28
IBVENTPP,DHANIPP,nse_symbolchange,symbolchange.csv,2020-10-28
IBSEC,IBVENTURES,nse_symbolchange,symbolchange.csv,2015-04-01
AMBEY,DHANSA,nse_symbolchange,symbolchange.csv,2026-06-01
DRL,DIRL,nse_symbolchange,symbolchange.csv,2026-01-02
DTIL,DPTL,nse_symbolchange,symbolchange.csv,2010-07-26
DPTL,DPL,nse_symbolchange,symbolchange.csv,2014-11-12
DPL,DVL,nse_symbolchange,symbolchange.csv,2019-01-02
SPICEMOBI,DIGISPICE,nse_symbolchange,symbolchange.csv,2019-08-28
SPICEMOBIL,SMOBILITY,nse_symbolchange,symbolchange.csv,2011-07-26
SMOBILITY,SPICEMOBI,nse_symbolchange,symbolchange.csv,2014-08-19
BVXL,DIGJAM,nse_symbolchange,symbolchange.csv,2008-04-28
DOLAT,DOLATALGO,nse_symbolchange,symbolchange.csv,2021-12-20
AANJANEYA,DRDATSONS,nse_symbolchange,symbolchange.csv,2013-09-02
DYNATECH,DUCON,nse_symbolchange,symbolchange.csv,2016-05-11
MUDRA,ELAND,nse_symbolchange,symbolchange.csv,2015-03-13
OBERHOTEL,EIHAHOTELS,nse_symbolchange,symbolchange.csv,2008-04-08
EMAIN,EMAPARTNER,nse_symbolchange,symbolchange.csv,2025-03-11
ESSELPACK,EPL,nse_symbolchange,symbolchange.csv,2020-10-19
ZOMATO,ETERNAL,nse_symbolchange,symbolchange.csv,2025-04-09
JD14G,ED14G,nse_symbolchange,symbolchange.csv,2016-11-28
JD14D,ED14D,nse_symbolchange,symbolchange.csv,2016-11-28
JP14D,E14D,nse_symbolchange,symbolchange.csv,2016-11-28
JP14G,E14G,nse_symbolchange,symbolchange.csv,2016-11-28
JD20D,ED20D,nse_symbolchange,symbolchange.csv,2016-11-28
JD20G,ED20G,nse_symbolchange,symbolchange.csv,2016-11-28
JP20D,E20D,nse_symbolchange,symbolchange.csv,2016-11-28
JP20G,E20G,nse_symbolchange,symbolchange.csv,2016-11-28
JD35G,ED35G,nse_symbolchange,symbolchange.csv,2016-11-28
JP35D,E35D,nse_symbolchange,symbolchange.csv,2016-11-28
JP35G,E35G,nse_symbolchange,symbolchange.csv,2016-11-28
JD37G,ED37G,nse_symbolchange,symbolchange.csv,2016-11-28
JP37D,E37D,nse_symbolchange,symbolchange.csv,2016-11-28
JP37G,E37G,nse_symbolchange,symbolchange.csv,2016-11-28
JD38G,ED38G,nse_symbolchange,symbolchange.csv,2016-11-28
JP38D,E38D,nse_symbolchange,symbolchange.csv,2016-11-28
JP38G,E38G,nse_symbolchange,symbolchange.csv,2016-11-28
JD40G,ED40G,nse_symbolchange,symbolchange.csv,2016-11-28
JP40D,E40D,nse_symbolchange,symbolchange.csv,2016-11-28
JP40G,E40G,nse_symbolchange,symbolchange.csv,2016-11-28
J502D,E502D,nse_symbolchange,symbolchange.csv,2016-11-28
J502G,E502G,nse_symbolchange,symbolchange.csv,2016-11-28
J501D,E501D,nse_symbolchange,symbolchange.csv,2016-11-28
J501G,E501G,nse_symbolchange,symbolchange.csv,2016-11-28
ELECONENGG,ELECON,nse_symbolchange,symbolchange.csv,2006-09-29
ELGITYRE,ELGIRUBBER,nse_symbolchange,symbolchange.csv,2008-12-22
EMAMIINFRA,EMAMIREAL,nse_symbolchange,symbolchange.csv,2018-11-15
IBREALEST,EMBDL,nse_symbolchange,symbolchange.csv,2024-07-08
INDUJENERT,ENTEGRA,nse_symbolchange,symbolchange.csv,2007-04-25
INDOASIFU,EONELECT,nse_symbolchange,symbolchange.csv,2011-08-18
MFL,EPIGRAL,nse_symbolchange,symbolchange.csv,2023-09-11
PROINDIA,EQUIPPP,nse_symbolchange,symbolchange.csv,2021-11-30
ERACONS,ERAINFRA,nse_symbolchange,symbolchange.csv,2008-02-25
ETERNEVRST,EVERESTIND,nse_symbolchange,symbolchange.csv,2005-05-27
EXCELINFO,EXCEL,nse_symbolchange,symbolchange.csv,2015-05-05
CHLORIDIND,EXIDEIND,nse_symbolchange,symbolchange.csv,2005-09-12
THINKSOFT,SQSBFSI,nse_symbolchange,symbolchange.csv,2014-09-30
SQSBFSI,EXPLEOSOL,nse_symbolchange,symbolchange.csv,2019-05-02
BAJAJTEMPO,FORCEMOT,nse_symbolchange,symbolchange.csv,2019-08-19
SHRINGAR,FAME,nse_symbolchange,symbolchange.csv,2008-02-25
FEDDERLOYD,FEDDERELEC,nse_symbolchange,symbolchange.csv,2017-06-13
GOETZEIND,FMGOETZE,nse_symbolchange,symbolchange.csv,2006-09-12
FIFMPS6FD,LTFMPS6FD,nse_symbolchange,symbolchange.csv,2013-01-14
HUGHESSOFT,FSS,nse_symbolchange,symbolchange.csv,2005-03-17
DABURPHARM,FKONCO,nse_symbolchange,symbolchange.csv,2009-02-19
FCEL,FCONSUMER,nse_symbolchange,symbolchange.csv,2016-10-25
FVIL,FCEL,nse_symbolchange,symbolchange.csv,2013-10-17
FRL,FEL,nse_symbolchange,symbolchange.csv,2016-05-13
FRLDVR,FELDVR,nse_symbolchange,symbolchange.csv,2016-05-13
PANTALOONR,FRL,nse_symbolchange,symbolchange.csv,2013-04-11
PRETAILDVR,FRLDVR,nse_symbolchange,symbolchange.csv,2013-04-11
AGRE,FMNL,nse_symbolchange,symbolchange.csv,2012-03-06
KEERTI,GTECJAINX,nse_symbolchange,symbolchange.csv,2023-09-12
STAMPEDE,GATECH,nse_symbolchange,symbolchange.csv,2023-07-14
SCAPDVR,GATECHDVR,nse_symbolchange,symbolchange.csv,2023-08-08
GANESHHOUC,GANESHHOU,nse_symbolchange,symbolchange.csv,2025-09-15
MIL,GBGLOBAL,nse_symbolchange,symbolchange.csv,2019-09-09
GEPIL,GVPIL,nse_symbolchange,symbolchange.csv,2025-08-28
ABBALPO,APIL,nse_symbolchange,symbolchange.csv,2003-05-19
AIL,GEPIL,nse_symbolchange,symbolchange.csv,2016-09-14
APIL,AIL,nse_symbolchange,symbolchange.csv,2012-07-11
GECALSTHOM,AREVA,nse_symbolchange,symbolchange.csv,2008-06-30
ALSTOMT&D,GET&D,nse_symbolchange,symbolchange.csv,2016-09-14
AREVA,AREVAT&D,nse_symbolchange,symbolchange.csv,2008-07-14
AREVAT&D,ALSTOMT&D,nse_symbolchange,symbolchange.csv,2012-03-12
GET&D,GVT&D,nse_symbolchange,symbolchange.csv,2024-11-05
GUJFLUORO,GFLLIMITED,nse_symbolchange,symbolchange.csv,2019-07-25
GMRINFRA,GMRAIRPORT,nse_symbolchange,symbolchange.csv,2024-12-11
GMRVASAVI,GMRINDSTRS,nse_symbolchange,symbolchange.csv,2006-04-28
GULFCORP,GOCLCORP,nse_symbolchange,symbolchange.csv,2015-11-10
SAHPETRO,GULFPETRO,nse_symbolchange,symbolchange.csv,2015-05-06
NOVA,GSLNOVA,nse_symbolchange,symbolchange.csv,2009-12-18
GSSAMERICA,GSS,nse_symbolchange,symbolchange.csv,2011-08-24
GLOBALTELE,GTL,nse_symbolchange,symbolchange.csv,2005-01-14
GTNTEXT,GTNIND,nse_symbolchange,symbolchange.csv,2006-02-24
GUJGASLTD,GUJENERGY,nse_symbolchange,symbolchange.csv,2026-07-01
4THDIM,GVPTECH,nse_symbolchange,symbolchange.csv,2023-07-31
GANHSGFIN,GANESHHOUC,nse_symbolchange,symbolchange.csv,2007-03-02
GARWALLROP,GARFIBRES,nse_symbolchange,symbolchange.csv,2018-08-13
GWALCHEM,GEECEE,nse_symbolchange,symbolchange.csv,2010-03-05
GENUSOVERE,GENUSPOWER,nse_symbolchange,symbolchange.csv,2008-01-14
GEOINFO,GEODESIC,nse_symbolchange,symbolchange.csv,2008-10-06
GEOJIT,GEOJITBNPP,nse_symbolchange,symbolchange.csv,2009-06-05
GEOJITBNPP,GEOJITFSL,nse_symbolchange,symbolchange.csv,2017-03-02
INDSHAVING,GILLETTE,nse_symbolchange,symbolchange.csv,2006-04-04
SMITKLBECH,GSKCONS,nse_symbolchange,symbolchange.csv,2003-07-29
GARWOFFS,GLOBOFFS,nse_symbolchange,symbolchange.csv,2011-06-07
PARADYNE,GLODYNE,nse_symbolchange,symbolchange.csv,2007-11-19
GTCIND,GOLDENTOBC,nse_symbolchange,symbolchange.csv,2008-09-29
SONAHISONA,GOLDKART,nse_symbolchange,symbolchange.csv,2023-12-01
692MH2039,692GS2039,nse_symbolchange,symbolchange.csv,2024-11-25
620MH2029,620GS2029,nse_symbolchange,symbolchange.csv,2026-08-18
657MH2033,657GS2033A,nse_symbolchange,symbolchange.csv,2026-08-18
CARBEVFLOW,GRAPHITE,nse_symbolchange,symbolchange.csv,2003-01-13
GREAVES,GREAVESCOT,nse_symbolchange,symbolchange.csv,2004-09-09
MITTALLAMI,GREENPLY,nse_symbolchange,symbolchange.csv,2004-12-09
GROWEV,GROWWEV,nse_symbolchange,symbolchange.csv,2024-08-23
GUJAPOLIND,GUJAPOLLO,nse_symbolchange,symbolchange.csv,2007-07-06
GUJAPOLEQP,GUJAPOLIND,nse_symbolchange,symbolchange.csv,2007-06-04
IDLCHEM,GULFOILCOR,nse_symbolchange,symbolchange.csv,2007-11-08
SMSLIFE,HALEOSLABS,nse_symbolchange,symbolchange.csv,2025-11-26
HBLPOWER,HBLENGINE,nse_symbolchange,symbolchange.csv,2024-12-23
HCL-HP,HCL-INSYS,nse_symbolchange,symbolchange.csv,2000-04-12
HDFCSENETF,HDFCSENSEX,nse_symbolchange,symbolchange.csv,2023-06-16
HDFCMFGETF,HDFCGOLD,nse_symbolchange,symbolchange.csv,2023-06-16
HDFCNIFETF,HDFCNIFTY,nse_symbolchange,symbolchange.csv,2023-06-16
HBANKETF,HDFCNIFBAN,nse_symbolchange,symbolchange.csv,2023-06-16
HYDRBADIND,HIL,nse_symbolchange,symbolchange.csv,2012-10-26
HOTELEELA,HLVLTD,nse_symbolchange,symbolchange.csv,2020-01-08
INVSTSMART,HINVDIR,nse_symbolchange,symbolchange.csv,2009-09-07
HINDSANIT,HSIL,nse_symbolchange,symbolchange.csv,2009-04-27
HSIL,AGI,nse_symbolchange,symbolchange.csv,2022-05-11
HOVS,HGM,nse_symbolchange,symbolchange.csv,2025-09-03
TMRVL,HEADSUP,nse_symbolchange,symbolchange.csv,2022-07-18
SASTASUNDR,HEALTHX,nse_symbolchange,symbolchange.csv,2026-04-30
MYSORECEM,HEIDELBERG,nse_symbolchange,symbolchange.csv,2009-05-15
HEROHONDA,HEROMOTOCO,nse_symbolchange,symbolchange.csv,2011-08-08
HCIL,HSCL,nse_symbolchange,symbolchange.csv,2016-08-16
HIMADCHEM,HCIL,nse_symbolchange,symbolchange.csv,2007-03-02
HINDALC0,HINDALCO,nse_symbolchange,symbolchange.csv,2007-08-27
ENNOREFO,HINDUJAFO,nse_symbolchange,symbolchange.csv,2008-03-24
HGSL,HGS,nse_symbolchange,symbolchange.csv,2011-11-30
HTMTGLOBAL,HGSL,nse_symbolchange,symbolchange.csv,2009-01-23
HINDUJAFIN,HTMT,nse_symbolchange,symbolchange.csv,2003-01-13
HINDCONS,HCC,nse_symbolchange,symbolchange.csv,2006-07-10
