company_name,old_symbol,new_symbol,effective_date
Dewan Housing Finance Corporation Limited,DEWANHOUS,DHFL,2012-05-22
Dhani Loans and Services Limited,ICFL,DHANILOANS,2020-09-17
Dhani Services Limited,IBVENTURES,DHANI,2020-10-28
Dhani Services Limited,IBVENTPP,DHANIPP,2020-10-28
Dhani Services Limited,IBSEC,IBVENTURES,2015-04-01
Dhansa Labs Limited,AMBEY,DHANSA,2026-06-01
Dhanuka Infra Realty Limited,DRL,DIRL,2026-01-02
Dhunseri Ventures Limited,DTIL,DPTL,2010-07-26
Dhunseri Ventures Limited,DPTL,DPL,2014-11-12
Dhunseri Ventures Limited,DPL,DVL,2019-01-02
DiGiSPICE Technologies Limited,SPICEMOBI,DIGISPICE,2019-08-28
DiGiSPICE Technologies Limited,SPICEMOBIL,SMOBILITY,2011-07-26
DiGiSPICE Technologies Limited,SMOBILITY,SPICEMOBI,2014-08-19
Digjam Limited,BVXL,DIGJAM,2008-04-28
Dolat Algotech Limited,DOLAT,DOLATALGO,2021-12-20
Dr. Datson's Labs Limited,AANJANEYA,DRDATSONS,2013-09-02
Ducon Infratechnologies Limited,DYNATECH,DUCON,2016-05-11
E-Land Apparel Limited,MUDRA,ELAND,2015-03-13
EIH Associated Hotels Limited,OBERHOTEL,EIHAHOTELS,2008-04-08
EMA Partners India Limited,EMAIN,EMAPARTNER,2025-03-11
EPL Limited,ESSELPACK,EPL,2020-10-19
ETERNAL LIMITED,ZOMATO,ETERNAL,2025-04-09
Edelweiss Fixed Maturity Plan - Series 14 - DP-GO,JD14G,ED14G,2016-11-28
Edelweiss Fixed Maturity Plan - Series 14 - Direct Plan - Dividend,JD14D,ED14D,2016-11-28
Edelweiss Fixed Maturity Plan - Series 14 - Regular Plan - Dividend,JP14D,E14D,2016-11-28
Edelweiss Fixed Maturity Plan - Series 14 - Regular Plan - Growth,JP14G,E14G,2016-11-28
Edelweiss Fixed Maturity Plan - Series 20 - Direct Plan - Dividend,JD20D,ED20D,2016-11-28
Edelweiss Fixed Maturity Plan - Series 20 - Direct Plan - Growth,JD20G,ED20G,2016-11-28
Edelweiss Fixed Maturity Plan - Series 20 - Regular Plan - Dividend,JP20D,E20D,2016-11-28
Edelweiss Fixed Maturity Plan - Series 20 - Regular Plan - Growth,JP20G,E20G,2016-11-28
Edelweiss Fixed Maturity Plan - Series 35 - Direct Plan - Growth,JD35G,ED35G,2016-11-28
Edelweiss Fixed Maturity Plan - Series 35 - Regular Plan - Dividend,JP35D,E35D,2016-11-28
Edelweiss Fixed Maturity Plan - Series 35 - Regular Plan - Growth,JP35G,E35G,2016-11-28
Edelweiss Fixed Maturity Plan - Series 37 - Direct Plan - Growth,JD37G,ED37G,2016-11-28
Edelweiss Fixed Maturity Plan - Series 37 - Regular Plan - Dividend,JP37D,E37D,2016-11-28
Edelweiss Fixed Maturity Plan - Series 37 - Regular Plan - Growth,JP37G,E37G,2016-11-28
Edelweiss Fixed Maturity Plan - Series 38 - Direct Plan - Growth,JD38G,ED38G,2016-11-28
Edelweiss Fixed Maturity Plan - Series 38 - Regular Plan - Dividend,JP38D,E38D,2016-11-28
Edelweiss Fixed Maturity Plan - Series 38 - Regular Plan - Growth,JP38G,E38G,2016-11-28
Edelweiss Fixed Maturity Plan - Series 40 - Direct Plan - Growth,JD40G,ED40G,2016-11-28
Edelweiss Fixed Maturity Plan - Series 40 - Regular Plan - Dividend,JP40D,E40D,2016-11-28
Edelweiss Fixed Maturity Plan - Series 40 - Regular Plan - Growth,JP40G,E40G,2016-11-28
Edelweiss Fixed Maturity Plan - Series 502 - Dividend Option,J502D,E502D,2016-11-28
Edelweiss Fixed Maturity Plan - Series 502 - Growth Option,J502G,E502G,2016-11-28
Edelweiss Income Fund - Series 501 - Dividend,J501D,E501D,2016-11-28
Edelweiss Income Fund - Series 501 - Growth,J501G,E501G,2016-11-28
Elecon Engineering Company Limited,ELECONENGG,ELECON,2006-09-29
Elgi Rubber Company Limited,ELGITYRE,ELGIRUBBER,2008-12-22
Emami Realty Limited,EMAMIINFRA,EMAMIREAL,2018-11-15
Embassy Developments Limited,IBREALEST,EMBDL,2024-07-08
Entegra Limited,INDUJENERT,ENTEGRA,2007-04-25
Eon Electric Limited,INDOASIFU,EONELECT,2011-08-18
Epigral Limited,MFL,EPIGRAL,2023-09-11
Equippp Social Impact Technologies Limited,PROINDIA,EQUIPPP,2021-11-30
Era Infra Engineering Limited,ERACONS,ERAINFRA,2008-02-25
Everest Industries Limited,ETERNEVRST,EVERESTIND,2005-05-27
Excel Realty N Infra Limited,EXCELINFO,EXCEL,2015-05-05
Exide Industries Limited,CHLORIDIND,EXIDEIND,2005-09-12
Expleo Solutions Limited,THINKSOFT,SQSBFSI,2014-09-30
Expleo Solutions Limited,SQSBFSI,EXPLEOSOL,2019-05-02
FORCE MOTORS LTD,BAJAJTEMPO,FORCEMOT,2019-08-19
Fame India Limited,SHRINGAR,FAME,2008-02-25
Fedders Electric and Engineering Limited,FEDDERLOYD,FEDDERELEC,2017-06-13
Federal-Mogul Goetze (India) Limited.,GOETZEIND,FMGOETZE,2006-09-12
Fidelity Mutual Fund - Fidelity Fixed Maturity Plan -SVI- Plan F - DP,FIFMPS6FD,LTFMPS6FD,2013-01-14
Flextronics Software Systems Limited,HUGHESSOFT,FSS,2005-03-17
Fresenius Kabi Oncology Limited,DABURPHARM,FKONCO,2009-02-19
Future Consumer Limited,FCEL,FCONSUMER,2016-10-25
Future Consumer Limited,FVIL,FCEL,2013-10-17
Future Enterprises Limited,FRL,FEL,2016-05-13
Future Enterprises Limited,FRLDVR,FELDVR,2016-05-13
Future Enterprises Limited,PANTALOONR,FRL,2013-04-11
