membership_date,price_date_used,membership_symbol,status,resolved_price_symbol,alias_component
2016-03-31,2016-03-31,WELSPUNLIV,RESOLVED,WELSPUNIND,WELSPUNIND;WELSPUNLIV
2016-03-31,2016-03-31,ZFCVINDIA,RESOLVED,WABCOINDIA,WABCO-TVS;WABCOINDIA;ZFCVINDIA
2016-03-31,2016-03-31,ZYDUSLIFE,RESOLVED,CADILAHC,CADILAHC;ZYDUSLIFE
2017-03-31,2017-03-31,360ONE,UNRESOLVED,,360ONE;IIFLWAM
2017-03-31,2017-03-31,ABREL,RESOLVED,CENTURYTEX,ABREL;CENTURYTEX
2017-03-31,2017-03-31,ADANIENSOL,RESOLVED,ADANITRANS,ADANIENSOL;ADANITRANS
2017-03-31,2017-03-31,AEGISLOG,RESOLVED,AEGISCHEM,AEGISCHEM;AEGISLOG
2017-03-31,2017-03-31,ANGELONE,UNRESOLVED,,ANGELBRKG;ANGELONE
2017-03-31,2017-03-31,ARE&M,RESOLVED,AMARAJABAT,AMARAJABAT;ARE&M
2017-03-31,2017-03-31,BAJAJCON,RESOLVED,BAJAJCORP,BAJAJCON;BAJAJCORP
2017-03-31,2017-03-31,CHOLAHLDNG,UNRESOLVED,,CHOLAHLDNG;TIFIN
2017-03-31,2017-03-31,CIEINDIA,RESOLVED,MAHINDCIE,CIEINDIA;MAHINDCIE;MAHINDFORG
2017-03-31,2017-03-31,COFORGE,RESOLVED,NIITTECH,COFORGE;NIITTECH
2017-03-31,2017-03-31,COHANCE,UNRESOLVED,,COHANCE;SUVENPHAR
2017-03-31,2017-03-31,DALBHARAT,UNRESOLVED,,DALBHARAT
2017-03-31,2017-03-31,EPIGRAL,UNRESOLVED,,EPIGRAL;MFL
2017-03-31,2017-03-31,EPL,RESOLVED,ESSELPACK,EPL;ESSELPACK
2017-03-31,2017-03-31,GMRAIRPORT,RESOLVED,GMRINFRA,GMRAIRPORT;GMRINFRA
2017-03-31,2017-03-31,GVT&D,RESOLVED,GET&D,ALSTOMT&D;AREVA;AREVAT&D;GECALSTHOM;GET&D;GVT&D
2017-03-31,2017-03-31,HBLENGINE,RESOLVED,HBLPOWER,HBLENGINE;HBLPOWER
2017-03-31,2017-03-31,HUHTAMAKI,RESOLVED,PAPERPROD,HUHTAMAKI;PAPERPROD
2017-03-31,2017-03-31,IDFCFIRSTB,RESOLVED,IDFCBANK,IDFCBANK;IDFCFIRSTB
2017-03-31,2017-03-31,INDUSTOWER,RESOLVED,INFRATEL,INDUSTOWER;INFRATEL
