source_id,local_path,source_url,retrieved_at_utc,publication_date,applicable_date,effective_date_candidates,document_type,mime_type,byte_count,sha256,retrieval_status,parsed_additions,parsed_deletions,parsed_event_rows,contains_nifty500_text,parse_status,parse_error
NIFTY_14bbee7bc813,data/raw/membership_official/notices/ind_prs23022021.pdf,https://niftyindices.com/Press_Release/ind_prs23022021.pdf,2026-09-14T20:16:34.073534+00:00,2021-02-23,2021-03-31,2021-03-31,index_change_notice,application/pdf,1086975,74b5e33ef8c7b140caf6799926a91df424cf309855d6870b31d77c1f2c925360,OK,24,24,48,True,PARSED,
NIFTY_095c7536531f,data/raw/membership_official/notices/ind_prs23062017.pdf,https://niftyindices.com/Press_Release/ind_prs23062017.pdf,2026-09-14T20:27:39.351438+00:00,2017-06-23,2017-07-03,2017-07-03,index_change_notice,application/pdf,315450,dfb84683aaf7a7e15dc3bb5ad9986251ef8a00e7ffea1173f69af0efccc0d7e7,OK,0,0,0,False,NO_BASE_INDEX_ROWS,
NIFTY_44243a3d96bd,data/raw/membership_official/notices/ind_prs23082021.pdf,https://niftyindices.com/Press_Release/ind_prs23082021.pdf,2026-09-14T20:16:45.325212+00:00,2021-08-23,,,index_change_notice,application/pdf,2563857,c9b9feef248ca89f7d8c8f12009e3d5c409eb4d6c793eee061fb93bf0af1231e,OK,0,0,0,False,NO_BASE_INDEX_ROWS,
NIFTY_e5146668e7a1,data/raw/membership_official/notices/ind_prs23082022.pdf,https://niftyindices.com/Press_Release/ind_prs23082022.pdf,2026-09-14T20:23:35.782989+00:00,2022-08-23,2022-08-30,2022-08-30,index_change_notice,application/pdf,179101,14c31d4f588e07f1e82f952e88181ab52a339561e82dc2a4b3c16dcaa91121c0,OK,0,0,0,True,NO_BASE_INDEX_ROWS,
NIFTY_8cbd028e2fec,data/raw/membership_official/notices/ind_prs24022022_1.pdf,https://niftyindices.com/Press_Release/ind_prs24022022_1.pdf,2026-09-14T20:16:34.874177+00:00,2022-02-24,2022-03-31,2022-03-31,index_change_notice,application/pdf,568913,3091cf1c10b57bbae3b81645f5d91916a1af2bb7284902060f4640f7fb9fcd56,OK,32,32,64,True,PARSED,
NIFTY_9a0299a1b5d0,data/raw/membership_official/notices/ind_prs24052018.pdf,https://niftyindices.com/Press_Release/ind_prs24052018.pdf,2026-09-14T20:16:27.163967+00:00,2018-05-24,2018-06-29,2018-06-29,index_change_notice,application/pdf,270915,bbc4a4c04cae7a1ff924e8b3ef3f7acc6b3a9da069a1d6a36cfe0ae99189e957,OK,3,3,6,True,PARSED,
NIFTY_9d1524dd9131,data/raw/membership_official/notices/ind_prs24052022.pdf,https://niftyindices.com/Press_Release/ind_prs24052022.pdf,2026-09-14T20:16:40.873946+00:00,2022-05-24,2022-05-31,2022-05-31,index_change_notice,application/pdf,183074,fba54facb2525ab92cdf5952d72d0a1a91e22d8ba6d6d9b50a6780c7e6d15ce7,OK,1,1,2,True,PARSED,
NIFTY_ff5b8c30c784,data/raw/membership_official/notices/ind_prs24062022.pdf,https://niftyindices.com/Press_Release/ind_prs24062022.pdf,2026-09-14T20:23:36.667291+00:00,2022-06-24,2022-07-01,2022-07-01,index_change_notice,application/pdf,929475,77c90a739a937158bfd33d214562b3840d3db0abe10fa80f003d5740b9bdb4f4,OK,0,0,0,False,NO_BASE_INDEX_ROWS,
NIFTY_7a50433c9677,data/raw/membership_official/notices/ind_prs24082015.pdf,https://niftyindices.com/Press_Release/ind_prs24082015.pdf,2026-09-14T20:16:26.042094+00:00,2015-08-24,2015-09-28,2015-09-28,index_change_notice,application/pdf,95391,fd2c85fb79d9d15c8e7758061320fd20a535e645a8be1c46a9ba0839785f09ac,OK,3,2,5,True,PARSED,
NIFTY_27d4144be605,data/raw/membership_official/notices/ind_prs25022019.pdf,https://niftyindices.com/Press_Release/ind_prs25022019.pdf,2026-09-14T20:16:27.756277+00:00,2019-02-25,2019-03-29,2019-03-29,index_change_notice,application/pdf,485706,bb0224baa0a399eb0d2bd86a6b2c06514a1ae68ef3ad2bf5628a4d93423e59ea,OK,25,25,50,True,PARSED,
