as_of_date,symbol,security_name,industry,source_file,source_page,security_id,identity_match_method,identity_candidate_count
2014-08-28,DENABANK,Dena Bank,BANKS,cnx500_Aug2014.pdf,5,NSE_80CC5FD61589,ACTIVE_DATE_MATCH,1
2014-08-28,DHANBANK,Dhanlaxmi Bank Ltd.,BANKS,cnx500_Aug2014.pdf,5,NSE_B8C8A459A862,ACTIVE_DATE_MATCH,1
2014-08-28,DHFL,Dewan Housing Finance Corporation Ltd.,FINANCE - HOUSING,cnx500_Aug2014.pdf,5,NSE_77D3BA4F489C,ACTIVE_DATE_MATCH,1
2014-08-28,DISHMAN,Dishman Pharmaceuticals & Chemicals Ltd.,PHARMACEUTICALS,cnx500_Aug2014.pdf,5,NSE_693A363A5FF4,ACTIVE_DATE_MATCH,1
2014-08-28,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,cnx500_Aug2014.pdf,5,NSE_E1969513A040,ACTIVE_DATE_MATCH,1
2014-08-28,DLF,DLF Ltd.,CONSTRUCTION,cnx500_Aug2014.pdf,5,NSE_36900DE5AB5C,ACTIVE_DATE_MATCH,1
2014-08-28,DREDGECORP,Dredging Corporation of India Ltd.,SHIPPING,cnx500_Aug2014.pdf,5,NSE_04670D8A7F6D,ACTIVE_DATE_MATCH,1
2014-08-28,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,cnx500_Aug2014.pdf,5,NSE_7175E22198C4,ACTIVE_DATE_MATCH,1
2014-08-28,ECLERX,eClerx Services Ltd.,COMPUTERS - SOFTWARE,cnx500_Aug2014.pdf,5,NSE_2F62FAA6E00D,ACTIVE_DATE_MATCH,1
2014-08-28,EDELWEISS,Edelweiss Financial Services Ltd.,FINANCE,cnx500_Aug2014.pdf,5,NSE_37C0ED065CD5,ACTIVE_DATE_MATCH,1
2014-08-28,EDUCOMP,Educomp Solutions Ltd.,COMPUTERS - SOFTWARE,cnx500_Aug2014.pdf,5,NSE_4BCDA2331B3B,ACTIVE_DATE_MATCH,1
2014-08-28,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,cnx500_Aug2014.pdf,5,NSE_DE05FB2F7DD8,ACTIVE_DATE_MATCH,1
2014-08-28,EIDPARRY,E.I.D. Parry (India) Ltd.,FERTILISERS,cnx500_Aug2014.pdf,5,NSE_F44F530FA95B,ACTIVE_DATE_MATCH,1
2014-08-28,EIHOTEL,EIH Ltd.,HOTELS,cnx500_Aug2014.pdf,5,NSE_80C803A57277,ACTIVE_DATE_MATCH,1
2014-08-28,ELDERPHARM,Elder Pharmaceuticals Ltd.,PHARMACEUTICALS,cnx500_Aug2014.pdf,5,NSE_22269AA0FB3D,ACTIVE_DATE_MATCH,1
2014-08-28,ELECTCAST,Electrosteel Castings Ltd.,CASTINGS/FORGINGS,cnx500_Aug2014.pdf,5,NSE_7336A438D402,ACTIVE_DATE_MATCH,1
2014-08-28,ELGIEQUIP,Elgi Equipments Ltd.,COMPRESSORS / PUMPS,cnx500_Aug2014.pdf,5,NSE_B88435B10855,ACTIVE_DATE_MATCH,1
2014-08-28,EMAMILTD,Emami Ltd.,PERSONAL CARE,cnx500_Aug2014.pdf,5,NSE_AF3172BFD228,ACTIVE_DATE_MATCH,1
