security_id,published_symbol,membership_from,membership_to,listing_or_first_observed_date,date_evidence,days_membership_precedes_reference,status
NSE_23C7CF9A3EAE,ICRA,2019-03-29,2021-03-31,2007-04-13,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_23D9B582F892,COLPAL,2014-08-28,,2007-12-17,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_241E65AA24F6,RAMCOIND,2014-08-28,2015-09-28,1996-11-06,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_244EC4566860,MONNETISPA,2014-08-28,2015-09-28,2013-01-01,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_24552B404E28,GVKPIL,2014-08-28,2019-03-29,2006-02-27,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_253019276C6A,3MINDIA,2014-08-28,,2004-08-13,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_2562C82A6AA3,DBCORP,2014-08-28,2021-03-31,2010-01-06,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_256CD40487EB,IL&FSENGG,2014-08-28,2015-03-27,2007-10-25,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_256CD40487EB,IL&FSENGG,2015-09-28,2016-04-01,2007-10-25,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_25EEBCFD7004,IMFA,2014-08-28,2015-03-27,2010-07-23,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_269D4C57C57C,BALMLAWRIE,2014-08-28,2021-09-30,1995-07-06,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_27112CDD1653,MRPL,2014-08-28,,2005-01-07,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_276B655CD1C9,SKSMICRO,2014-08-28,2018-12-28,2013-01-01,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_27ED7EAB3326,ASTRAL,2014-09-19,,2007-03-20,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_28824E5CE2B2,METALFORGE,2015-09-28,2016-04-01,2013-01-01,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_297F6BD649A1,VIJAYABANK,2014-08-28,2019-01-28,2013-01-01,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_2A0ECB1CAF9E,ORIENTELEC,2019-03-29,,2018-05-14,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_2AC56D269FBF,ALOKINDS,2020-09-25,2023-03-31,2020-02-19,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_2B12B6998928,RELCAPITAL,2014-08-28,2017-09-05,2013-01-01,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_2B12B6998928,RELCAPITAL,2018-02-05,2020-06-26,2013-01-01,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_2BB23E58EEE2,SPARC,2014-08-28,,2007-07-18,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_2C5F1FC0CC8C,VIPIND,2014-08-28,,2005-03-02,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_2D9667E60569,POLYMED,2020-06-26,,2011-12-07,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_2DA8AA828257,JPASSOCIAT,2014-08-28,2019-09-27,2013-01-01,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_2E6044362252,POLYCAB,2019-09-27,,2019-04-16,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_2E60454DAC8D,BBTC,2014-08-28,,1996-04-03,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_2E631416E138,ERAINFRA,2014-08-28,2014-09-19,2013-01-01,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_2E66C97CA5FA,RALLIS,2014-08-28,,1999-04-01,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_2E67BF3F672C,INDIANB,2014-08-28,,2007-03-01,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_2E6A9952322C,ORISSAMINE,2014-08-28,2017-09-29,2010-09-29,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_2EAE81E9FD97,REPCOHOME,2014-09-19,2020-09-25,2013-04-01,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_2EF4FF20DDD4,BIKAJI,2023-03-31,,2022-11-16,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_2EF7833DA8D3,HEG,2014-08-28,2016-04-01,2013-01-01,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_2EF7833DA8D3,HEG,2018-04-02,,2013-01-01,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_2F2EB4A88F22,KARURVYSYA,2014-08-28,,2000-07-26,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_2F5953912F7F,PFIZER,2014-08-28,,1999-04-28,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_2F62FAA6E00D,ECLERX,2014-08-28,,2007-12-31,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_305BA34187E0,EVEREADY,2015-09-28,2019-03-29,2005-04-27,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_305DE6D13FA6,BOMDYEING,2014-08-28,2021-03-31,1995-04-26,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_3066C4DD5B47,PFS,2014-08-28,2019-03-29,2011-03-30,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_3087CF0E8810,TDPOWERSYS,2014-08-28,2016-04-01,2013-01-01,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_30B63CA17706,SHREECEM,2014-08-28,,1995-04-26,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_30E8FCA5619B,TI,2014-11-28,2015-03-27,2010-07-16,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_312A70D05395,MMTC,2014-08-28,,2012-04-09,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_314CB242F7B1,HEROMOTOCO,2014-08-28,,2003-04-11,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_31B20A2BAC7A,TRENT,2014-08-28,,2004-06-07,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_31BF757C2F9E,BATAINDIA,2014-08-28,,2003-06-18,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_31E61AFCD7A5,TATAGLOBAL,2014-08-28,,1998-11-18,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_321E52290F1B,FSL,2014-08-28,,2007-02-22,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_325DD296C68D,BLUESTARCO,2014-08-28,,2000-06-15,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_328A23F1543C,ZENSARTECH,2014-08-28,2018-04-02,2003-07-09,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_328A23F1543C,ZENSARTECH,2018-09-28,,2003-07-09,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_329ABD1F5CCD,JSL,2014-08-28,2015-06-15,2003-11-17,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_329ABD1F5CCD,JSL,2017-09-29,,2003-11-17,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_3365743DE28C,IBREALEST,2014-08-28,,2007-03-23,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_338E517DA7BB,BALAMINES,2021-03-31,,2007-04-05,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_34A8B558044E,KFINTECH,2023-03-31,,2022-12-29,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_351109872146,BHARATRAS,2020-06-26,2022-03-31,2013-01-02,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_351109872146,BHARATRAS,2022-09-30,2023-03-31,2013-01-02,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_351E280578AE,NIITTECH,2014-08-28,,2013-01-01,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_355BD0212158,SAIL,2014-08-28,,1995-07-06,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_3561AE065616,KANSAINER,2014-08-28,,2003-09-15,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_3604A340ECD7,KSK,2014-08-28,2016-09-30,2013-01-01,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_364A9E7B44C1,GTOFFSHORE,2014-08-28,2014-09-19,2013-01-01,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_364D63478B99,GATI,2014-08-28,2018-09-28,2013-01-01,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_3677464F31DF,GAMMONIND,2014-08-28,2015-09-28,2013-01-01,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_36900DE5AB5C,DLF,2014-08-28,,2007-07-05,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_37C0ED065CD5,EDELWEISS,2014-08-28,,2007-12-12,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_38B591471B4F,ISEC,2018-09-28,,2018-04-04,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_38BB2C517032,POLICYBZR,2022-03-31,,2021-11-15,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_38CADF4DAE15,VARROC,2018-12-28,,2018-07-06,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_38D041A935C4,GREENPANEL,2022-09-30,,2019-10-23,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_39600F11BB9A,WABCOINDIA,2014-08-28,,2008-10-01,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_396C5E0A148B,JKPAPER,2019-03-29,,2005-06-16,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_39E0D7EE6CD1,ROSSARI,2021-03-31,,2020-07-23,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_3A0DDDDAEB27,UNITECH,2014-08-28,2018-09-28,1999-09-08,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_3A49C1557F52,AIAENG,2014-08-28,,2005-12-14,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_3A5699DD10E6,RBLBANK,2017-01-23,,2016-08-31,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_3A59D4375DE3,CDSL,2018-04-02,,2017-06-30,CURRENT_NSE_EQUITY_MASTER,0,PASS
